OBJECTID,PROCLAIMEDFORESTID,FORESTNAME,GIS_ACRES,SHAPEAREA,SHAPELEN
200684,295465010328,Rogue River National Forest,680891.523,0.30175451526897,7.11561579361831
200685,295466010328,Ochoco National Forest,981580.548,0.447261566202419,8.63595626355862
200686,295467010328,Malheur National Forest,1544580.959,0.704322022543345,12.9515529876994
200687,295468010328,Mt. Hood National Forest,1189054.223,0.551753116811262,9.12402672575098
200688,295469010328,Deschutes National Forest,1869820.814,0.846779538111484,9.14426340625229
200689,295470010328,Nebraska National Forest,229214.809,0.101351270383858,3.17094499426711
200690,295471010328,Lolo National Forest,2638522.343,1.26655722044663,29.123313806637
200691,295472010328,Lewis & Clark National Forest,2001605.417,0.961541673546915,15.5742469029465
200692,295473010328,Kootenai National Forest,2141970.221,1.05567515768896,19.4257086219702
200693,295474010328,Helena National Forest,1174209.698,0.558869945881385,13.6295249088715
200694,295475010328,Gallatin National Forest,2127637.926,0.988320309852263,15.4291809949231
200695,295476010328,Flathead National Forest,2649702.652,1.29303842683291,19.4110731205024
200696,295477010328,Deerlodge National Forest,1373789.945,0.647389255934862,18.3297017475626
200697,295478010328,De Soto National Forest,833870.886,0.318818617656843,5.24008019707668
200698,295479010328,Bienville National Forest,388448.533,0.150454833162596,2.04322442603501
200699,295480010328,Superior National Forest,3271106.117,1.59020899622096,14.1512487206603
200700,295481010328,Chippewa National Forest,1599789.388,0.771543334331243,4.92534931951192
200701,295482010328,Ottawa National Forest,1552576.539,0.73569559183862,7.05107703195995
200702,295483010328,Manistee National Forest,1328981.664,0.602254617425617,6.96593364318667
200703,295484010328,Huron National Forest,690704.647,0.316583622850129,5.09613164196498
200704,295485010328,Hiawatha National Forest,1300330.085,0.612910754316478,9.08671911594469
200705,295486010328,Payette National Forest,2425854.781,1.12203550558066,11.4869182023845
200706,295487010328,Nezperce National Forest,2251767.6,1.05498944379316,8.43482612896842
200707,295488010328,Kaniksu National Forest,1951101.762,0.958802635055712,18.8668287039467
200708,295489010328,Coeur d'Alene National Forest,803694.286,0.389937369427983,5.5416027090719
200709,295490010328,Clearwater National Forest,1723274.186,0.818090751079641,5.9546635279824
200710,295491010328,Challis National Forest,2479730.138,1.1315174408394,16.9465843800429
200711,295492010328,Caribou National Forest,1084365.979,0.482724466124237,10.6782983852895
200712,295493010328,Boise National Forest,2950438.033,1.34261046543492,12.4624022564206
200713,295494010328,San Juan National Forest,2093914.595,0.863366412090614,9.02064319264034
200714,295495010328,San Isabel National Forest,1224404.255,0.511743643178502,14.3106122765345
200715,295496010328,Routt National Forest,1249142.864,0.537375482613936,11.4132213969225
200716,295497010328,Roosevelt National Forest,1080114.504,0.46461664815098,7.18880162446337
200717,295498010328,Rio Grande National Forest,1937386.467,0.801284204338538,12.8227785610613
200718,295499010328,Pike National Forest,1273336.448,0.537146351078557,8.95822487342166
200719,295500010328,Gunnison National Forest,1760893.396,0.737365843432844,13.6986743277781
200720,295501010328,Grand Mesa National Forest,351209.089,0.147989403062619,4.07697161725496
200721,295502010328,Arapaho National Forest,767529.673,0.327499689664379,9.98281916766995
200722,295503010328,Stanislaus National Forest,1092025.607,0.454330303721465,6.24150100396889
200723,295504010328,Tahoe National Forest,1225633.35,0.518546571290942,10.4767198719554
200724,295505010328,Trinity National Forest,1188515.052,0.512099016328315,6.54711957743982
